School Name,Start Date,End Date,Notes,Degree Name,Activities
UVEG Guanajuato,2018,2021,"The core of the program provides a solid foundation in strategic thinking, systemic approach, project definition, planning and control, applied project management, behavioral aspects of project management, and management of organizational change; all from an ethical perspective, professional integrity and commitment to their community.",Ingenieering,
CESA Management Solutions,Apr 2023,Nov 2023,,Especialization diploma,
Tecnológico de Monterrey,2016,2016,"Plan activities and resources, manage budgets, and control risks. This specialized Program covers the processes of initiation and planning of projects, definition, and estimation of budgets, as well as risk management and change administration. In the final project, developed in partnership with a company, the skills learned by developing the elements of a project seen in previous courses can be applied.",Especialization diploma,
Universidad Nacional Autónoma de México,2015,2015,"The Internet has come to change the way of handling marketing and communication strategies. It has led to the emergence of economically active Internet users online. You have asked yourself: Who are they? Where are they located? To whom do they relate? How and with what do they communicate? What content do they share or generate? To know and interact with them requires having digital marketing strategies.  In our country, there is a great opportunity for development in digital marketing due to the constant growth of clients connected to the Internet.  Digital Marketing was created to teach its participants to take advantage of the Internet and find new customers, position their brand and sell products and services with the use of Web 2.0 tools.",Especialization diploma,
Universidad Pontificia Bolivariana,2015,2015,"-Elaboration and execution of Marketing and Communication plans in Social Networks. -Planning, execution, and optimization of strategies in Social Networks.  -Role of the CM and its responsibilities.  -Integration of CM activities with the Marketing and Communication departments.  -Acquisition of skills to clearly communicate the interests of the company to its clients.  -Conception of the web beyond a simple web page: turn it into a profitable business.  -Knowledge and understanding of the tools that make work as CM easier.  -Definition of strategies and development of Digital Marketing campaigns.  -Acquisition of knowledge about SEO, SEM, Web Analytics and Social CRM.",Social Media & Community Management,"Social media have changed the communication methods between entities and society, the consumer became a consumer who participates in the development of the brand, the reader became a user who interacts with the brand, and society observed how screens are the most powerful influence to send messages."
Centro de Estudios Gastronómicos La Cuisine,2010,2012,,International cuisine chef,
Universidad Politécnica Territorial del Estado Lara Andrés Eloy Blanco,1999,2002,,Bachelor's Degree,
